,0,1,2,3,4,5,6,7,8,9
0,70.42670100223533,85.22241495281365,125.59329792623241,126.94777540536865,129.8168458399644,135.0310997595139,143.55658353007937,152.6598959216563,156.29150282203142,162.55758238433617
1,167.95062223940252,173.89340551953555,175.19762482155454,185.88870731161342,196.70516578879577,197.47781686004782,200.9642669212424,217.68166428704495,221.02543921160014,224.81034390994245
2,231.56396769392958,240.22907119088308,241.94923421050055,242.45523205077825,246.39304342128,246.85707917034708,247.20532791890128,255.30633692534045,267.00749507148515,282.8811713615
3,303.55166478477287,312.3509761760138,316.12074670486305,327.73458342953313,330.1507900916086,387.0607972040021,424.5920274676336,429.8955644050729,435.49339922863743,501.1964992609207
4,502.3731213426947,504.4929131218003,507.7913778539434,512.5852344998181,519.2694308892162,528.2880074535911,540.1327825063623,555.2880565345871,556.3409202184406,577.5007062203874
5,585.816225042403,593.0038446281038,601.4159131045668,612.029778598544,624.6122872549911,625.488445186352,645.6833886388029,690.9431248230186,692.0154528980114,710.5830676617053
6,720.5277041352426,729.2923464453801,739.1109489490449,751.0136385641929,836.8198607086645,871.1501344819808,1047.4369317624748,1063.1433228121382,1127.2207760222743,1128.363712623019
7,1130.3397754449304,1133.2557780059087,1137.2575813177627,1142.5340242633433,1149.3027021514308,1157.8270665988152,1168.378034601077,1213.365169065543,1242.8831497012766,1254.8034085112135
8,1263.622859717241,1272.505940727251,1282.5894378164448,1324.991437983019,1338.0371216672536,1442.658078555158,1759.4352532965906,2019.2457515258798,2711.5164720072266,3014.6899360334983
9,3885.9076472686143,4281.1372984911695,5278.370495914629,5794.3413796052455,6887.3632388115275,7547.895210252086,8712.192582429738,9539.326254682523,11185.420163648883,12177.782663236294
